vendor_id,report_type,report_input,is_completed,file_path,generated_by
2501,2,"2020-01-01,2021-05-21",True,/buymore2/Reports/report_id_2501_2020-01-01_2021-05-21.xlsx,0
982,4,982,True,/buymore2/Reports/report_id_609b7ff7156bda4ac5af3bae.csv,1
892,2,"2021-01-01,2021-04-30",True,/buymore2/Reports/report_id_892_2021-01-01_2021-04-30.xlsx,0
2394,4,982,True,/buymore2/Reports/report_id_609b849ae792901cb2d97970.csv,
187,2,"1970-01-01,1970-01-31",False,no dd_id found,
187,3,"{""vendor_id"":187}",True,/buymore2/Reports/report_id_609b93035c0a1471cd6c1bab.csv,
141,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_141_2021-04-01_2021-04-30.xlsx,
2392,4,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_609bd3e95c0a1471cd6c1e29.csv,
2501,4,"{""vendor_id"":2501}",True,/buymore2/Reports/report_id_609c13665c0a1471cd6c1e52.csv,
877,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_877_2021-05-01_2021-05-31.xlsx,
877,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_877_2021-04-01_2021-04-30.xlsx,
2432,2,"2021-05-01,2021-05-31",False,no dd_id found,
2432,2,"2021-04-01,2021-04-30",False,no dd_id found,
2391,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2391_2021-05-01_2021-05-31.xlsx,
2391,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2391_2021-04-01_2021-04-30.xlsx,
1004,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1004_2021-05-01_2021-05-31.xlsx,
1004,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1004_2021-04-01_2021-04-30.xlsx,
1005,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1005_2021-05-01_2021-05-31.xlsx,
1005,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1005_2021-04-01_2021-04-30.xlsx,
181,3,"{""vendor_id"":181}",True,/buymore2/Reports/report_id_609cf1c2b849eae6cff3dda7.csv,
181,1,"{""vendor_id"":181}",True,/buymore2/Reports/report_id_609cf90ab849eae6cff3ddc4.csv,
181,6,"{""vendor_id"":181}",True,/buymore2/Reports/report_id_609d00d0b849eae6cff3ddcc.csv,
2393,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2393_2021-05-01_2021-05-31.xlsx,
2393,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2393_2021-04-01_2021-04-30.xlsx,
2392,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2392_2021-05-01_2021-05-31.xlsx,
2392,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2392_2021-04-01_2021-04-30.xlsx,
71,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_71_2021-05-01_2021-05-31.xlsx,
71,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_71_2021-04-01_2021-04-30.xlsx,
1003,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1003_2021-05-01_2021-05-31.xlsx,
1003,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1003_2021-04-01_2021-04-30.xlsx,
1002,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1002_2021-05-01_2021-05-31.xlsx,
1002,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1002_2021-04-01_2021-04-30.xlsx,
943,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_943_2021-05-01_2021-05-31.xlsx,
943,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_943_2021-04-01_2021-04-30.xlsx,
964,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_964_2021-05-01_2021-05-31.xlsx,
964,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_964_2021-04-01_2021-04-30.xlsx,
1039,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1039_2021-05-01_2021-05-31.xlsx,
1039,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1039_2021-04-01_2021-04-30.xlsx,
756,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_756_2021-05-01_2021-05-31.xlsx,
756,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_756_2021-04-01_2021-04-30.xlsx,
1035,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1035_2021-05-01_2021-05-31.xlsx,
1035,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1035_2021-04-01_2021-04-30.xlsx,
815,2,"2021-05-01,2021-05-31",False,no dd_id found,
815,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_815_2021-04-01_2021-04-30.xlsx,
992,2,"2021-05-01,2021-05-31",False,no dd_id found,
992,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_992_2021-04-01_2021-04-30.xlsx,
912,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_912_2021-05-01_2021-05-31.xlsx,
912,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_912_2021-04-01_2021-04-30.xlsx,
2390,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2390_2021-05-01_2021-05-31.xlsx,
2390,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2390_2021-04-01_2021-04-30.xlsx,
2394,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2394_2021-05-01_2021-05-31.xlsx,
2394,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2394_2021-04-01_2021-04-30.xlsx,
2397,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2397_2021-05-01_2021-05-31.xlsx,
2397,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2397_2021-04-01_2021-04-30.xlsx,
969,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_969_2021-05-01_2021-05-31.xlsx,
969,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_969_2021-04-01_2021-04-30.xlsx,
2388,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2388_2021-05-01_2021-05-31.xlsx,
2388,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2388_2021-04-01_2021-04-30.xlsx,
1065,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_1065_2021-05-01_2021-05-31.xlsx,
1065,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1065_2021-04-01_2021-04-30.xlsx,
2391,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2391_2021-04-01_2021-04-30.xlsx,
2391,1,"{""vendor_id"":2391}",True,/buymore2/Reports/report_id_609e0649b849eae6cff3dff6.csv,
1035,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1035_2021-04-01_2021-04-30.xlsx,
2400,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2400_2021-04-01_2021-04-30.xlsx,
912,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_912_2021-04-01_2021-04-30.xlsx,
943,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_943_2021-04-01_2021-04-30.xlsx,
71,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_71_2021-04-01_2021-04-30.xlsx,
964,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_964_2021-04-01_2021-04-30.xlsx,
905,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_905_2021-04-01_2021-04-30.xlsx,
815,1,"{""vendor_id"":815}",True,/buymore2/Reports/report_id_609e2976b849eae6cff3e0bd.csv,
815,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_815_2021-04-01_2021-04-30.xlsx,
1065,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_1065_2021-04-01_2021-04-30.xlsx,
71,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_71_2021-04-01_2021-04-30.xlsx,
187,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_187_2021-05-01_2021-05-31.xlsx,
2388,1,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60a4edfdb849eae6cff3f3f0.csv,
2388,1,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60a501f3b849eae6cff3f4a5.csv,
2501,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_2501_2021-04-01_2021-04-30.xlsx,
2501,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2501_2021-05-01_2021-05-31.xlsx,
2511,2,"2021-04-01,2021-04-30",False,no dd_id found,
2511,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2511_2021-05-01_2021-05-31.xlsx,
2512,2,"2021-04-01,2021-04-30",False,no dd_id found,
2512,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2512_2021-05-01_2021-05-31.xlsx,
2513,2,"2021-04-01,2021-04-30",False,no dd_id found,
2513,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2513_2021-05-01_2021-05-31.xlsx,
2392,5,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60ab8ff33a9d611b752f11d4.csv,
2392,4,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60ab91c53a9d611b752f11db.csv,
2392,5,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60ab94693a9d611b752f11f4.csv,
2392,6,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60ab95483a9d611b752f11fa.csv,
2392,6,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60ab95673a9d611b752f11fb.csv,
892,2,"2021-04-01,2021-04-30",True,/buymore2/Reports/report_id_892_2021-04-01_2021-04-30.xlsx,
892,2,"2021-05-01,2021-05-31",False,"Expecting ',' delimiter: line 1 column 137724 (char 137723)",
892,2,"1970-01-01,1970-01-31",False,no dd_id found,
892,2,"2021-05-01,2021-05-31",False,"Expecting ',' delimiter: line 1 column 137724 (char 137723)",
892,2,"2021-05-01,2021-05-31",False,"Expecting ',' delimiter: line 1 column 137724 (char 137723)",
892,2,"2021-05-01,2021-05-31",False,"Expecting ',' delimiter: line 1 column 137724 (char 137723)",
2394,5,"{""vendor_id"":2394}",True,/buymore2/Reports/report_id_60aca9f93a9d611b752f14c4.csv,
2392,2,"2021-05-01,2021-05-31",True,/buymore2/Reports/report_id_2392_2021-05-01_2021-05-31.xlsx,
982,1,"{""vendor_id"":982}",True,/buymore2/Reports/report_id_60addc343a9d611b752f1999.csv,
2394,1,"{""vendor_id"":2394}",True,/buymore2/Reports/report_id_60ade4413a9d611b752f19b6.csv,
982,3,"{""vendor_id"":982}",True,/buymore2/Reports/report_id_60adea8a3a9d611b752f19d9.csv,
2397,1,"{""vendor_id"":2397}",True,/buymore2/Reports/report_id_60ae0c193a9d611b752f1a4f.csv,
2388,1,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60af460a3a9d611b752f1d26.csv,
892,2,"2021-05-01,2021-05-31",False,"Expecting ',' delimiter: line 1 column 138762 (char 138761)",
2392,3,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60af87e83a9d611b752f1f14.csv,
2392,5,"{""vendor_id"":2392}",True,/buymore2/Reports/report_id_60af88323a9d611b752f1f15.csv,
2388,4,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60afd0723a9d611b752f2052.csv,
2388,5,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60afd0943a9d611b752f2053.csv,
2388,6,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60afd0af3a9d611b752f2054.csv,
2388,1,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60afd0c33a9d611b752f2055.csv,
2388,3,"{""vendor_id"":2388}",True,/buymore2/Reports/report_id_60afd0d63a9d611b752f2056.csv,
